174/2647	(GI:15239147) is finished	(43.78 mins )
175/2647	(GI:15238047) is finished	(43.58 mins )
176/2647	(GI:15240831) is finished	(43.79 mins )
177/2647	(GI:30685369) is finished	(43.9 mins )
178/2647	(GI:15240021) is finished	(43.83 mins )
179/2647	(GI:15239789) is finished	(43.75 mins )
180/2647	(GI:79328173) is finished	(43.67 mins )
181/2647	(GI:238481313) is finished	(43.94 mins )
182/2647	(GI:15239293) is finished	(43.81 mins )
183/2647	(GI:30679280) is finished	(43.84 mins )
184/2647	(GI:22329268) is finished	(44.47 mins )
185/2647	(GI:15237328) is finished	(44.68 mins )
186/2647	(GI:18414465) is finished	(44.64 mins )
187/2647	(GI:15241656) is finished	(44.5 mins )
188/2647	(GI:15241593) is finished	(45.2 mins )
189/2647	(GI:79327557) is finished	(45.05 mins )
190/2647	(GI:79327922) is finished	(45.0 mins )
191/2647	(GI:15239857) is finished	(45.01 mins )
192/2647	(GI:15241677) is finished	(44.85 mins )
193/2647	(GI:240256245) is finished	(44.71 mins )
194/2647	(GI:15242363) is finished	(44.57 mins )
195/2647	(GI:22326731) is finished	(44.38 mins )
196/2647	(GI:15240952) is finished	(44.32 mins )
197/2647	(GI:145334285) is finished	(44.27 mins )
198/2647	(GI:15241007) is finished	(44.52 mins )
199/2647	(GI:15238044) is finished	(44.95 mins )
200/2647	(GI:42573375) is finished	(45.1 mins )
201/2647	(GI:15240587) is finished	(44.97 mins )
202/2647	(GI:145334371) is finished	(44.92 mins )
203/2647	(GI:15240613) is finished	(45.03 mins )
204/2647	(GI:15241267) is finished	(44.9 mins )
205/2647	(GI:18416357) is finished	(44.77 mins )
206/2647	(GI:15242326) is finished	(44.88 mins )
207/2647	(GI:15242272) is finished	(44.95 mins )
208/2647	(GI:15236061) is finished	(44.81 mins )
209/2647	(GI:30681522) is finished	(44.63 mins )
210/2647	(GI:15237944) is finished	(44.46 mins )
211/2647	(GI:145357701) is finished	(44.52 mins )
212/2647	(GI:15238973) is finished	(44.44 mins )
213/2647	(GI:15239859) is finished	(44.51 mins )
214/2647	(GI:18418333) is finished	(44.41 mins )
215/2647	(GI:15238816) is finished	(44.41 mins )
216/2647	(GI:15238012) is finished	(44.42 mins )
217/2647	(GI:145357815) is finished	(44.46 mins )
218/2647	(GI:15242316) is finished	(44.36 mins )
219/2647	(GI:79327651) is finished	(44.42 mins )
220/2647	(GI:79326631) is finished	(44.5 mins )
221/2647	(GI:18415737) is finished	(44.52 mins )
222/2647	(GI:15240042) is finished	(44.59 mins )
223/2647	(GI:30683133) is finished	(44.79 mins )
224/2647	(GI:22326841) is finished	(44.82 mins )
225/2647	(GI:18415456) is finished	(44.78 mins )
226/2647	(GI:15238856) is finished	(44.79 mins )
227/2647	(GI:186523019) is finished	(44.61 mins )
228/2647	(GI:18414574) is finished	(44.51 mins )
229/2647	(GI:145334499) is finished	(44.52 mins )
Traceback (most recent call last):
  File "blastpro.py", line 177, in <module>
    main(sys.argv)
  File "blastpro.py", line 171, in main
    result_dic = all_page(urls)
  File "blastpro.py", line 116, in all_page
    dic = get_all_info(soup)
  File "blastpro.py", line 102, in get_all_info
    result = find_everything(tag)
  File "blastpro.py", line 70, in find_everything
    num_tag = ichild(1, ichild(0, ichild(1, ichild(1, num_div))))
  File "blastpro.py", line 57, in ichild
    return list(tag.children)[i]
  File "/usr/local/lib/python3.5/dist-packages/bs4/element.py", line 737, in __getattr__
    self.__class__.__name__, attr))
AttributeError: 'NavigableString' object has no attribute 'children'
